detailedoccupation,detailedname,majorgroup,minorgroup,broadgroup,majorname,minorname,broadname
11-9032,"Education Administrators, Elementary and Secondary School",11-0000,11-9000,11-9030,Management Occupations,Other Management Occupations,Education Administrators
11-9033,"Education Administrators, Postsecondary",11-0000,11-9000,11-9030,Management Occupations,Other Management Occupations,Education Administrators
11-9039,"Education Administrators, All Other",11-0000,11-9000,11-9030,Management Occupations,Other Management Occupations,Education Administrators
11-9041,Architectural and Engineering Managers,11-0000,11-9000,11-9040,Management Occupations,Other Management Occupations,Architectural and Engineering Managers
11-9051,Food Service Managers,11-0000,11-9000,11-9050,Management Occupations,Other Management Occupations,Food Service Managers
11-9061,Funeral Service Managers,11-0000,11-9000,11-9060,Management Occupations,Other Management Occupations,Funeral Service Managers
11-9071,Gaming Managers,11-0000,11-9000,11-9070,Management Occupations,Other Management Occupations,Gaming Managers
11-9081,Lodging Managers,11-0000,11-9000,11-9080,Management Occupations,Other Management Occupations,Lodging Managers
11-9111,Medical and Health Services Managers,11-0000,11-9000,11-9110,Management Occupations,Other Management Occupations,Medical and Health Services Managers
11-9121,Natural Sciences Managers,11-0000,11-9000,11-9120,Management Occupations,Other Management Occupations,Natural Sciences Managers
11-9131,Postmasters and Mail Superintendents,11-0000,11-9000,11-9130,Management Occupations,Other Management Occupations,Postmasters and Mail Superintendents
11-9141,"Property, Real Estate, and Community Association Managers",11-0000,11-9000,11-9140,Management Occupations,Other Management Occupations,"Property, Real Estate, and Community Association Managers"
11-9151,Social and Community Service Managers,11-0000,11-9000,11-9150,Management Occupations,Other Management Occupations,Social and Community Service Managers
11-9161,Emergency Management Directors,11-0000,11-9000,11-9160,Management Occupations,Other Management Occupations,Emergency Management Directors
11-9199,"Managers, All Other",11-0000,11-9000,11-9190,Management Occupations,Other Management Occupations,Miscellaneous Managers
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",13-0000,13-1000,13-1010,Business and Financial Operations Occupations,Business Operations Specialists,"Agents and Business Managers of Artists, Performers, and Athletes"
13-1021,"Buyers and Purchasing Agents, Farm Products",13-0000,13-1000,13-1020,Business and Financial Operations Occupations,Business Operations Specialists,Buyers and Purchasing Agents
13-1022,"Wholesale and Retail Buyers, Except Farm Products",13-0000,13-1000,13-1020,Business and Financial Operations Occupations,Business Operations Specialists,Buyers and Purchasing Agents
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-0000,13-1000,13-1020,Business and Financial Operations Occupations,Business Operations Specialists,Buyers and Purchasing Agents
13-1031,"Claims Adjusters, Examiners, and Investigators",13-0000,13-1000,13-1030,Business and Financial Operations Occupations,Business Operations Specialists,"Claims Adjusters, Appraisers, Examiners, and Investigators"
13-1032,"Insurance Appraisers, Auto Damage",13-0000,13-1000,13-1030,Business and Financial Operations Occupations,Business Operations Specialists,"Claims Adjusters, Appraisers, Examiners, and Investigators"
13-1041,Compliance Officers,13-0000,13-1000,13-1040,Business and Financial Operations Occupations,Business Operations Specialists,Compliance Officers
13-1051,Cost Estimators,13-0000,13-1000,13-1050,Business and Financial Operations Occupations,Business Operations Specialists,Cost Estimators
13-1071,Human Resources Specialists,13-0000,13-1000,13-1070,Business and Financial Operations Occupations,Business Operations Specialists,Human Resources Workers
13-1074,Farm Labor Contractors,13-0000,13-1000,13-1070,Business and Financial Operations Occupations,Business Operations Specialists,Human Resources Workers
13-1075,Labor Relations Specialists,13-0000,13-1000,13-1070,Business and Financial Operations Occupations,Business Operations Specialists,Human Resources Workers
13-1081,Logisticians,13-0000,13-1000,13-1080,Business and Financial Operations Occupations,Business Operations Specialists,Logisticians
13-1111,Management Analysts,13-0000,13-1000,13-1110,Business and Financial Operations Occupations,Business Operations Specialists,Management Analysts
13-1121,"Meeting, Convention, and Event Planners",13-0000,13-1000,13-1120,Business and Financial Operations Occupations,Business Operations Specialists,"Meeting, Convention, and Event Planners"
13-1131,Fundraisers,13-0000,13-1000,13-1130,Business and Financial Operations Occupations,Business Operations Specialists,Fundraisers
13-1141,"Compensation, Benefits, and Job Analysis Specialists",13-0000,13-1000,13-1140,Business and Financial Operations Occupations,Business Operations Specialists,"Compensation, Benefits, and Job Analysis Specialists"
13-1151,Training and Development Specialists,13-0000,13-1000,13-1150,Business and Financial Operations Occupations,Business Operations Specialists,Training and Development Specialists
13-1161  ,Market Research Analysts and Marketing Specialists,13-0000,13-1000,13-1160,Business and Financial Operations Occupations,Business Operations Specialists,Market Research Analysts and Marketing Specialists
13-1199,"Business Operations Specialists, All Other",13-0000,13-1000,13-1190,Business and Financial Operations Occupations,Business Operations Specialists,Miscellaneous Business Operations Specialists
13-2011,Accountants and Auditors,13-0000,13-2000,13-2010,Business and Financial Operations Occupations,Financial Specialists,Accountants and Auditors
13-2021,Appraisers and Assessors of Real Estate,13-0000,13-2000,13-2020,Business and Financial Operations Occupations,Financial Specialists,Appraisers and Assessors of Real Estate
13-2031,Budget Analysts,13-0000,13-2000,13-2030,Business and Financial Operations Occupations,Financial Specialists,Budget Analysts
13-2041,Credit Analysts,13-0000,13-2000,13-2040,Business and Financial Operations Occupations,Financial Specialists,Credit Analysts
13-2051,Financial Analysts,13-0000,13-2000,13-2050,Business and Financial Operations Occupations,Financial Specialists,Financial Analysts and Advisors
13-2052,Personal Financial Advisors,13-0000,13-2000,13-2050,Business and Financial Operations Occupations,Financial Specialists,Financial Analysts and Advisors
13-2053,Insurance Underwriters,13-0000,13-2000,13-2050,Business and Financial Operations Occupations,Financial Specialists,Financial Analysts and Advisors
13-2061,Financial Examiners,13-0000,13-2000,13-2060,Business and Financial Operations Occupations,Financial Specialists,Financial Examiners
13-2071,Credit Counselors,13-0000,13-2000,13-2070,Business and Financial Operations Occupations,Financial Specialists,Credit Counselors and Loan Officers
13-2072,Loan Officers,13-0000,13-2000,13-2070,Business and Financial Operations Occupations,Financial Specialists,Credit Counselors and Loan Officers
13-2081,"Tax Examiners and Collectors, and Revenue Agents",13-0000,13-2000,13-2080,Business and Financial Operations Occupations,Financial Specialists,"Tax Examiners, Collectors and Preparers, and Revenue Agents"
13-2082,Tax Preparers,13-0000,13-2000,13-2080,Business and Financial Operations Occupations,Financial Specialists,"Tax Examiners, Collectors and Preparers, and Revenue Agents"
13-2099,"Financial Specialists, All Other",13-0000,13-2000,13-2090,Business and Financial Operations Occupations,Financial Specialists,Miscellaneous Financial Specialists
15-1111,Computer and Information Research Scientists,15-0000,15-1100,15-1110,Computer and Mathematical Occupations,Computer Occupations,Computer and Information Research Scientists
15-1121,Computer Systems Analysts,15-0000,15-1100,15-1120,Computer and Mathematical Occupations,Computer Occupations,Computer and Information Analysts
15-1122,Information Security Analysts,15-0000,15-1100,15-1120,Computer and Mathematical Occupations,Computer Occupations,Computer and Information Analysts
15-1131,Computer Programmers,15-0000,15-1100,15-1130,Computer and Mathematical Occupations,Computer Occupations,Software Developers and Programmers
15-1132,"Software Developers, Applications",15-0000,15-1100,15-1130,Computer and Mathematical Occupations,Computer Occupations,Software Developers and Programmers
15-1133,"Software Developers, Systems Software",15-0000,15-1100,15-1130,Computer and Mathematical Occupations,Computer Occupations,Software Developers and Programmers
15-1134,Web Developers,15-0000,15-1100,15-1130,Computer and Mathematical Occupations,Computer Occupations,Software Developers and Programmers
15-1141,Database Administrators,15-0000,15-1100,15-1140,Computer and Mathematical Occupations,Computer Occupations,Database and Systems Administrators and Network Architects
15-1142,Network and Computer Systems Administrators,15-0000,15-1100,15-1140,Computer and Mathematical Occupations,Computer Occupations,Database and Systems Administrators and Network Architects
15-1143,Computer Network Architects,15-0000,15-1100,15-1140,Computer and Mathematical Occupations,Computer Occupations,Database and Systems Administrators and Network Architects
15-1151,Computer User Support Specialists,15-0000,15-1100,15-1150,Computer and Mathematical Occupations,Computer Occupations,Computer Support Specialists
15-1152,Computer Network Support Specialists,15-0000,15-1100,15-1150,Computer and Mathematical Occupations,Computer Occupations,Computer Support Specialists
15-1199,"Computer Occupations, All Other",15-0000,15-1100,15-1190,Computer and Mathematical Occupations,Computer Occupations,Miscellaneous Computer Occupations
15-2011,Actuaries,15-0000,15-2000,15-2010,Computer and Mathematical Occupations,Mathematical Science Occupations,Actuaries
15-2021,Mathematicians,15-0000,15-2000,15-2020,Computer and Mathematical Occupations,Mathematical Science Occupations,Mathematicians
15-2031,Operations Research Analysts,15-0000,15-2000,15-2030,Computer and Mathematical Occupations,Mathematical Science Occupations,Operations Research Analysts
15-2041,Statisticians,15-0000,15-2000,15-2040,Computer and Mathematical Occupations,Mathematical Science Occupations,Statisticians
15-2091,Mathematical Technicians,15-0000,15-2000,15-2090,Computer and Mathematical Occupations,Mathematical Science Occupations,Miscellaneous Mathematical Science Occupations
15-2099,"Mathematical Science Occupations, All Other",15-0000,15-2000,15-2090,Computer and Mathematical Occupations,Mathematical Science Occupations,Miscellaneous Mathematical Science Occupations
17-1011,"Architects, Except Landscape and Naval",17-0000,17-1000,17-1010,Architecture and Engineering Occupations,"Architects, Surveyors, and Cartographers","Architects, Except Naval"
17-1012,Landscape Architects,17-0000,17-1000,17-1010,Architecture and Engineering Occupations,"Architects, Surveyors, and Cartographers","Architects, Except Naval"
17-1021,Cartographers and Photogrammetrists,17-0000,17-1000,17-1020,Architecture and Engineering Occupations,"Architects, Surveyors, and Cartographers","Surveyors, Cartographers, and Photogrammetrists"
17-1022,Surveyors,17-0000,17-1000,17-1020,Architecture and Engineering Occupations,"Architects, Surveyors, and Cartographers","Surveyors, Cartographers, and Photogrammetrists"
17-2011,Aerospace Engineers,17-0000,17-2000,17-2010,Architecture and Engineering Occupations,Engineers,Aerospace Engineers
17-2021,Agricultural Engineers,17-0000,17-2000,17-2020,Architecture and Engineering Occupations,Engineers,Agricultural Engineers
17-2031,Biomedical Engineers,17-0000,17-2000,17-2030,Architecture and Engineering Occupations,Engineers,Biomedical Engineers
17-2041,Chemical Engineers,17-0000,17-2000,17-2040,Architecture and Engineering Occupations,Engineers,Chemical Engineers
17-2051,Civil Engineers,17-0000,17-2000,17-2050,Architecture and Engineering Occupations,Engineers,Civil Engineers
17-2061,Computer Hardware Engineers,17-0000,17-2000,17-2060,Architecture and Engineering Occupations,Engineers,Computer Hardware Engineers
17-2071,Electrical Engineers,17-0000,17-2000,17-2070,Architecture and Engineering Occupations,Engineers,Electrical and Electronics Engineers
17-2072,"Electronics Engineers, Except Computer",17-0000,17-2000,17-2070,Architecture and Engineering Occupations,Engineers,Electrical and Electronics Engineers
17-2081,Environmental Engineers,17-0000,17-2000,17-2080,Architecture and Engineering Occupations,Engineers,Environmental Engineers
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17-0000,17-2000,17-2110,Architecture and Engineering Occupations,Engineers,"Industrial Engineers, Including Health and Safety"
17-2112,Industrial Engineers,17-0000,17-2000,17-2110,Architecture and Engineering Occupations,Engineers,"Industrial Engineers, Including Health and Safety"
17-2121,Marine Engineers and Naval Architects,17-0000,17-2000,17-2120,Architecture and Engineering Occupations,Engineers,Marine Engineers and Naval Architects
17-2131,Materials Engineers,17-0000,17-2000,17-2130,Architecture and Engineering Occupations,Engineers,Materials Engineers
17-2141,Mechanical Engineers,17-0000,17-2000,17-2140,Architecture and Engineering Occupations,Engineers,Mechanical Engineers
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",17-0000,17-2000,17-2150,Architecture and Engineering Occupations,Engineers,"Mining and Geological Engineers, Including Mining Safety Engineers"
17-2161,Nuclear Engineers,17-0000,17-2000,17-2160,Architecture and Engineering Occupations,Engineers,Nuclear Engineers
17-2171,Petroleum Engineers,17-0000,17-2000,17-2170,Architecture and Engineering Occupations,Engineers,Petroleum Engineers
17-2199,"Engineers, All Other",17-0000,17-2000,17-2190,Architecture and Engineering Occupations,Engineers,Miscellaneous Engineers
17-3011,Architectural and Civil Drafters,17-0000,17-3000,17-3010,Architecture and Engineering Occupations,"Drafters, Engineering Technicians, and Mapping Technicians",Drafters
17-3012,Electrical and Electronics Drafters,17-0000,17-3000,17-3010,Architecture and Engineering Occupations,"Drafters, Engineering Technicians, and Mapping Technicians",Drafters
17-3013,Mechanical Drafters,17-0000,17-3000,17-3010,Architecture and Engineering Occupations,"Drafters, Engineering Technicians, and Mapping Technicians",Drafters
17-3019,"Drafters, All Other",17-0000,17-3000,17-3010,Architecture and Engineering Occupations,"Drafters, Engineering Technicians, and Mapping Technicians",Drafters
17-3021,Aerospace Engineering and Operations Technicians,17-0000,17-3000,17-3020,Architecture and Engineering Occupations,"Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technicians, Except Drafters"
17-3022,Civil Engineering Technicians,17-0000,17-3000,17-3020,Architecture and Engineering Occupations,"Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technicians, Except Drafters"
17-3023,Electrical and Electronics Engineering Technicians,17-0000,17-3000,17-3020,Architecture and Engineering Occupations,"Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technicians, Except Drafters"
17-3024,Electro-Mechanical Technicians,17-0000,17-3000,17-3020,Architecture and Engineering Occupations,"Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technicians, Except Drafters"
17-3025,Environmental Engineering Technicians,17-0000,17-3000,17-3020,Architecture and Engineering Occupations,"Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technicians, Except Drafters"
17-3026,Industrial Engineering Technicians,17-0000,17-3000,17-3020,Architecture and Engineering Occupations,"Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technicians, Except Drafters"
17-3027,Mechanical Engineering Technicians,17-0000,17-3000,17-3020,Architecture and Engineering Occupations,"Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technicians, Except Drafters"
17-3029,"Engineering Technicians, Except Drafters, All Other",17-0000,17-3000,17-3020,Architecture and Engineering Occupations,"Drafters, Engineering Technicians, and Mapping Technicians","Engineering Technicians, Except Drafters"
17-3031,Surveying and Mapping Technicians,17-0000,17-3000,17-3030,Architecture and Engineering Occupations,"Drafters, Engineering Technicians, and Mapping Technicians",Surveying and Mapping Technicians
19-1011,Animal Scientists,19-0000,19-1000,19-1010,"Life, Physical, and Social Science Occupations",Life Scientists,Agricultural and Food Scientists
19-1012,Food Scientists and Technologists,19-0000,19-1000,19-1010,"Life, Physical, and Social Science Occupations",Life Scientists,Agricultural and Food Scientists
19-1013,Soil and Plant Scientists,19-0000,19-1000,19-1010,"Life, Physical, and Social Science Occupations",Life Scientists,Agricultural and Food Scientists
19-1021,Biochemists and Biophysicists,19-0000,19-1000,19-1020,"Life, Physical, and Social Science Occupations",Life Scientists,Biological Scientists
19-1022,Microbiologists,19-0000,19-1000,19-1020,"Life, Physical, and Social Science Occupations",Life Scientists,Biological Scientists
19-1023,Zoologists and Wildlife Biologists,19-0000,19-1000,19-1020,"Life, Physical, and Social Science Occupations",Life Scientists,Biological Scientists
19-1029,"Biological Scientists, All Other",19-0000,19-1000,19-1020,"Life, Physical, and Social Science Occupations",Life Scientists,Biological Scientists
19-1031,Conservation Scientists,19-0000,19-1000,19-1030,"Life, Physical, and Social Science Occupations",Life Scientists,Conservation Scientists and Foresters
19-1032,Foresters,19-0000,19-1000,19-1030,"Life, Physical, and Social Science Occupations",Life Scientists,Conservation Scientists and Foresters
19-1041,Epidemiologists,19-0000,19-1000,19-1040,"Life, Physical, and Social Science Occupations",Life Scientists,Medical Scientists
19-1042,"Medical Scientists, Except Epidemiologists",19-0000,19-1000,19-1040,"Life, Physical, and Social Science Occupations",Life Scientists,Medical Scientists
19-1099,"Life Scientists, All Other",19-0000,19-1000,19-1090,"Life, Physical, and Social Science Occupations",Life Scientists,Miscellaneous Life Scientists
19-2011,Astronomers,19-0000,19-2000,19-2010,"Life, Physical, and Social Science Occupations",Physical Scientists,Astronomers and Physicists
19-2012,Physicists,19-0000,19-2000,19-2010,"Life, Physical, and Social Science Occupations",Physical Scientists,Astronomers and Physicists
19-2021,Atmospheric and Space Scientists,19-0000,19-2000,19-2020,"Life, Physical, and Social Science Occupations",Physical Scientists,Atmospheric and Space Scientists
19-2031,Chemists,19-0000,19-2000,19-2030,"Life, Physical, and Social Science Occupations",Physical Scientists,Chemists and Materials Scientists
19-2032,Materials Scientists,19-0000,19-2000,19-2030,"Life, Physical, and Social Science Occupations",Physical Scientists,Chemists and Materials Scientists
19-2041,"Environmental Scientists and Specialists, Including Health",19-0000,19-2000,19-2040,"Life, Physical, and Social Science Occupations",Physical Scientists,Environmental Scientists and Geoscientists
19-2042,"Geoscientists, Except Hydrologists and Geographers",19-0000,19-2000,19-2040,"Life, Physical, and Social Science Occupations",Physical Scientists,Environmental Scientists and Geoscientists
19-2043,Hydrologists,19-0000,19-2000,19-2040,"Life, Physical, and Social Science Occupations",Physical Scientists,Environmental Scientists and Geoscientists
19-2099,"Physical Scientists, All Other",19-0000,19-2000,19-2090,"Life, Physical, and Social Science Occupations",Physical Scientists,Miscellaneous Physical Scientists
19-3011,Economists,19-0000,19-3000,19-3010,"Life, Physical, and Social Science Occupations",Social Scientists and Related Workers,Economists
19-3022,Survey Researchers,19-0000,19-3000,19-3020,"Life, Physical, and Social Science Occupations",Social Scientists and Related Workers,Survey Researchers
19-3031,"Clinical, Counseling, and School Psychologists",19-0000,19-3000,19-3030,"Life, Physical, and Social Science Occupations",Social Scientists and Related Workers,Psychologists
19-3032,Industrial-Organizational Psychologists,19-0000,19-3000,19-3030,"Life, Physical, and Social Science Occupations",Social Scientists and Related Workers,Psychologists
19-3039,"Psychologists, All Other",19-0000,19-3000,19-3030,"Life, Physical, and Social Science Occupations",Social Scientists and Related Workers,Psychologists
19-3041,Sociologists,19-0000,19-3000,19-3040,"Life, Physical, and Social Science Occupations",Social Scientists and Related Workers,Sociologists
19-3051,Urban and Regional Planners,19-0000,19-3000,19-3050,"Life, Physical, and Social Science Occupations",Social Scientists and Related Workers,Urban and Regional Planners
19-3091,Anthropologists and Archeologists,19-0000,19-3000,19-3090,"Life, Physical, and Social Science Occupations",Social Scientists and Related Workers,Miscellaneous Social Scientists and Related Workers
19-3092,Geographers,19-0000,19-3000,19-3090,"Life, Physical, and Social Science Occupations",Social Scientists and Related Workers,Miscellaneous Social Scientists and Related Workers
19-3093,Historians,19-0000,19-3000,19-3090,"Life, Physical, and Social Science Occupations",Social Scientists and Related Workers,Miscellaneous Social Scientists and Related Workers
19-3094,Political Scientists,19-0000,19-3000,19-3090,"Life, Physical, and Social Science Occupations",Social Scientists and Related Workers,Miscellaneous Social Scientists and Related Workers
19-3099,"Social Scientists and Related Workers, All Other",19-0000,19-3000,19-3090,"Life, Physical, and Social Science Occupations",Social Scientists and Related Workers,Miscellaneous Social Scientists and Related Workers
19-4011,Agricultural and Food Science Technicians,19-0000,19-4000,19-4010,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians",Agricultural and Food Science Technicians
19-4021,Biological Technicians,19-0000,19-4000,19-4020,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians",Biological Technicians
19-4031,Chemical Technicians,19-0000,19-4000,19-4030,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians",Chemical Technicians
19-4041,Geological and Petroleum Technicians,19-0000,19-4000,19-4040,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians",Geological and Petroleum Technicians
19-4051,Nuclear Technicians,19-0000,19-4000,19-4050,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians",Nuclear Technicians
19-4061,Social Science Research Assistants,19-0000,19-4000,19-4060,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians",Social Science Research Assistants
19-4091,"Environmental Science and Protection Technicians, Including Health",19-0000,19-4000,19-4090,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians","Miscellaneous Life, Physical, and Social Science Technicians"
19-4092,Forensic Science Technicians,19-0000,19-4000,19-4090,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians","Miscellaneous Life, Physical, and Social Science Technicians"
19-4093,Forest and Conservation Technicians,19-0000,19-4000,19-4090,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians","Miscellaneous Life, Physical, and Social Science Technicians"
19-4099,"Life, Physical, and Social Science Technicians, All Other",19-0000,19-4000,19-4090,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians","Miscellaneous Life, Physical, and Social Science Technicians"
21-1011,Substance Abuse and Behavioral Disorder Counselors,21-0000,21-1000,21-1010,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Counselors
21-1012,"Educational, Guidance, School, and Vocational Counselors",21-0000,21-1000,21-1010,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Counselors
21-1013,Marriage and Family Therapists,21-0000,21-1000,21-1010,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Counselors
21-1014,Mental Health Counselors,21-0000,21-1000,21-1010,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Counselors
21-1015,Rehabilitation Counselors,21-0000,21-1000,21-1010,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Counselors
21-1019,"Counselors, All Other",21-0000,21-1000,21-1010,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Counselors
21-1021,"Child, Family, and School Social Workers",21-0000,21-1000,21-1020,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Social Workers
21-1022,Healthcare Social Workers,21-0000,21-1000,21-1020,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Social Workers
21-1023,Mental Health and Substance Abuse Social Workers,21-0000,21-1000,21-1020,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Social Workers
21-1029,"Social Workers, All Other",21-0000,21-1000,21-1020,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Social Workers
21-1091,Health Educators ,21-0000,21-1000,21-1090,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Miscellaneous Community and Social Service Specialists
21-1092,Probation Officers and Correctional Treatment Specialists,21-0000,21-1000,21-1090,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Miscellaneous Community and Social Service Specialists
21-1093,Social and Human Service Assistants,21-0000,21-1000,21-1090,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Miscellaneous Community and Social Service Specialists
21-1094,Community Health Workers,21-0000,21-1000,21-1090,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Miscellaneous Community and Social Service Specialists
21-1099,"Community and Social Service Specialists, All Other",21-0000,21-1000,21-1090,Community and Social Service Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Miscellaneous Community and Social Service Specialists
21-2011,Clergy,21-0000,21-2000,21-2010,Community and Social Service Occupations,Religious Workers,Clergy
21-2021,"Directors, Religious Activities and Education",21-0000,21-2000,21-2020,Community and Social Service Occupations,Religious Workers,"Directors, Religious Activities and Education"
21-2099,"Religious Workers, All Other",21-0000,21-2000,21-2090,Community and Social Service Occupations,Religious Workers,Miscellaneous Religious Workers
23-1011,Lawyers,23-0000,23-1000,23-1010,Legal Occupations,"Lawyers, Judges, and Related Workers",Lawyers and Judicial Law Clerks
23-1012,Judicial Law Clerks,23-0000,23-1000,23-1010,Legal Occupations,"Lawyers, Judges, and Related Workers",Lawyers and Judicial Law Clerks
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",23-0000,23-1000,23-1020,Legal Occupations,"Lawyers, Judges, and Related Workers","Judges, Magistrates, and Other Judicial Workers"
23-1022,"Arbitrators, Mediators, and Conciliators",23-0000,23-1000,23-1020,Legal Occupations,"Lawyers, Judges, and Related Workers","Judges, Magistrates, and Other Judicial Workers"
23-1023,"Judges, Magistrate Judges, and Magistrates",23-0000,23-1000,23-1020,Legal Occupations,"Lawyers, Judges, and Related Workers","Judges, Magistrates, and Other Judicial Workers"
23-2011,Paralegals and Legal Assistants,23-0000,23-2000,23-2010,Legal Occupations,Legal Support Workers,Paralegals and Legal Assistants
23-2091,Court Reporters,23-0000,23-2000,23-2090,Legal Occupations,Legal Support Workers,Miscellaneous Legal Support Workers
23-2093,"Title Examiners, Abstractors, and Searchers",23-0000,23-2000,23-2090,Legal Occupations,Legal Support Workers,Miscellaneous Legal Support Workers
23-2099,"Legal Support Workers, All Other",23-0000,23-2000,23-2090,Legal Occupations,Legal Support Workers,Miscellaneous Legal Support Workers
25-1011,"Business Teachers, Postsecondary",25-0000,25-1000,25-1010,"Education, Training, and Library Occupations",Postsecondary Teachers,"Business Teachers, Postsecondary"
25-1021,"Computer Science Teachers, Postsecondary",25-0000,25-1000,25-1020,"Education, Training, and Library Occupations",Postsecondary Teachers,"Math and Computer Teachers, Postsecondary"
25-1022,"Mathematical Science Teachers, Postsecondary",25-0000,25-1000,25-1020,"Education, Training, and Library Occupations",Postsecondary Teachers,"Math and Computer Teachers, Postsecondary"
25-1031,"Architecture Teachers, Postsecondary",25-0000,25-1000,25-1030,"Education, Training, and Library Occupations",Postsecondary Teachers,"Engineering and Architecture Teachers, Postsecondary"
25-1032,"Engineering Teachers, Postsecondary",25-0000,25-1000,25-1030,"Education, Training, and Library Occupations",Postsecondary Teachers,"Engineering and Architecture Teachers, Postsecondary"
